#{"t_start": 1618253494.2781935, "env_id": null}
r,l,t
1.261905,12,3.297296
-0.904762,5,3.405007
-0.809524,9,3.574706
-0.738095,12,3.791845
-0.619048,17,4.101988
-0.833333,8,4.25062
1.071429,4,4.340351
-0.666667,15,4.639551
-0.690476,14,4.900874
1.238095,11,5.118268
1.142857,7,5.264961
1.214286,10,5.451461
-9.690476,14,5.700746
-9.833333,8,5.865335
-9.833333,8,6.013935
-0.666667,15,6.283441
-0.833333,8,6.449414
-0.857143,7,6.587043
-0.833333,8,6.746747
1.309524,14,6.997192
1.071429,4,7.076011
1.190476,9,7.242564
1.261905,12,7.470924
-9.714286,13,7.706328
1.190476,9,7.875992
1.166667,8,8.038531
-0.785714,10,8.236998
1.142857,7,8.370644
1.261905,12,8.585067
1.166667,8,8.745076
1.238095,11,8.942429
1.261905,12,9.173811
-0.738095,12,9.391351
1.190476,9,9.551861
1.119048,6,9.66575
-9.714286,13,9.90812
-0.880952,6,10.025783
-9.690476,14,10.269137
-0.857143,7,10.402775
1.238095,11,10.594241
1.190476,9,10.76079
-9.785714,10,10.935356
1.214286,10,11.119864
-0.714286,13,11.361183
1.261905,12,11.568658
1.119048,6,11.684351
1.190476,9,11.847899
1.071429,4,11.931657
1.309524,14,12.177029
-0.761905,11,12.375048
1.214286,10,12.555052
-0.761905,11,12.754761
1.166667,8,12.911615
1.071429,4,12.985417
-9.738095,12,13.205086
1.214286,10,13.389575
-9.666667,15,13.643908
-9.785714,10,13.817432
1.119048,6,13.948112
-0.833333,8,14.114195
-0.761905,11,14.308697
1.095238,5,14.407433
-0.761905,11,14.605901
-9.761905,11,14.794377
-9.809524,9,14.9689
1.261905,12,15.183336
1.309524,14,15.438563
-9.761905,11,15.623085
-0.785714,10,15.807585
-9.833333,8,15.955175
1.190476,9,16.123884
-0.904762,5,16.222612
1.190476,9,16.400563
1.261905,12,16.62132
1.309524,14,16.87446
1.071429,4,16.959205
-0.738095,12,17.177635
1.357143,16,17.480839
-9.738095,12,17.695241
1.142857,7,17.823417
1.190476,9,17.990381
1.190476,9,18.15793
1.261905,12,18.370364
-9.714286,13,18.589748
-9.809524,9,18.739348
1.214286,10,18.921886
-9.690476,14,19.166494
-9.880952,6,19.270195
1.142857,7,19.412637
1.190476,9,19.576908
1.190476,9,19.732462
1.214286,10,19.915971
1.285714,13,20.160317
1.261905,12,20.368393
1.071429,4,20.449202
1.190476,9,20.614753
-0.857143,7,20.748402
1.095238,5,20.84813
-0.761905,11,21.068908
1.190476,9,21.22472
-0.833333,8,21.384243
-0.785714,10,21.570714
1.238095,11,21.767875
-0.785714,10,21.952064
-0.833333,8,22.113424
-0.714286,13,22.336816
1.190476,9,22.50237
-0.714286,13,22.735745
1.119048,6,22.849445
1.285714,13,23.086777
1.166667,8,23.236661
-9.738095,12,23.452802
1.166667,8,23.601433
-9.738095,12,23.818378
1.261905,12,24.033909
-9.714286,13,24.257276
1.261905,12,24.46572
-0.857143,7,24.608365
-0.904762,5,24.716297
-9.690476,14,24.968185
-0.880952,6,25.098862
1.190476,9,25.263496
1.190476,9,25.440866
-0.928571,4,25.535581
1.190476,9,25.716097
1.190476,9,25.873267
-9.690476,14,26.114594
1.285714,13,26.348967
-0.880952,6,26.470641
-9.738095,12,26.67712
-9.761905,11,26.871261
-9.738095,12,27.07372
1.166667,8,27.225424
-0.666667,15,27.514529
1.309524,14,27.752017
1.238095,11,27.956058
1.285714,13,28.180456
1.261905,12,28.400859
1.119048,6,28.513476
1.285714,13,28.739837
-0.833333,8,28.895926
1.380952,17,29.194107
-0.809524,9,29.370357
1.142857,7,29.51095
1.190476,9,29.688501
1.142857,7,29.833275
-0.904762,5,29.936997
1.261905,12,30.15142
-0.785714,10,30.327807
1.190476,9,30.492107
1.214286,10,30.675589
-9.738095,12,30.883033
1.095238,5,30.980795
-0.904762,5,31.088509
1.238095,11,31.290987
-0.809524,9,31.463508
-0.738095,12,31.693862
-9.833333,8,31.830497
-9.738095,12,32.044923
-0.714286,13,32.284882
-0.833333,8,32.438043
1.261905,12,32.649472
-0.738095,12,32.872874
1.095238,5,32.973498
-9.761905,11,33.167979
1.285714,13,33.404213
-0.857143,7,33.534863
1.285714,13,33.765474
-0.880952,6,33.883158
-0.666667,15,34.15446
-0.761905,11,34.353925
1.261905,12,34.561348
1.071429,4,34.647976
-0.595238,18,34.967937
1.214286,10,35.150448
1.190476,9,35.31792
-0.785714,10,35.507439
-0.809524,9,35.666016
-9.738095,12,35.879822
-0.809524,9,36.054324
-0.714286,13,36.287513
-0.809524,9,36.461049
1.190476,9,36.623614
-0.857143,7,36.757256
1.261905,12,36.980376
1.071429,4,37.061164
1.214286,10,37.238428
1.166667,8,37.396527
-0.904762,5,37.508226
-0.809524,9,37.686667
-0.809524,9,37.870207
1.142857,7,37.998858
-9.690476,14,38.239427
-9.738095,12,38.438855
-0.738095,12,38.661226
-0.738095,12,38.879674
-0.833333,8,39.037255
-0.833333,8,39.189188
-0.785714,10,39.38856
-0.785714,10,39.574093
1.119048,6,39.685723
-0.761905,11,39.893688
-0.857143,7,40.029343
-0.880952,6,40.160996
1.190476,9,40.322564
1.166667,8,40.474248
-0.714286,13,40.703608
-0.833333,8,40.861185
1.142857,7,40.987849
-9.714286,13,41.216252
-9.619048,17,41.501764
-0.761905,11,41.702228
-0.785714,10,41.88833
1.214286,10,42.082885
1.166667,8,42.229492
1.119048,6,42.340193
1.214286,10,42.534155
-9.714286,13,42.765359
-9.785714,10,42.935893
1.119048,6,43.052581
1.238095,11,43.244548
1.190476,9,43.422088
1.190476,9,43.587162
-0.690476,14,43.854335
1.214286,10,44.032225
1.119048,6,44.152903
-9.738095,12,44.353366
1.309524,14,44.602699
1.309524,14,44.848042
-0.738095,12,45.064883
-0.809524,9,45.23443
1.190476,9,45.404947
1.166667,8,45.547718
1.214286,10,45.732701
-9.690476,14,45.979984
1.309524,14,46.233307
1.190476,9,46.401537
-0.714286,13,46.640696
-0.809524,9,46.811232
1.238095,11,47.00302
-0.785714,10,47.191515
1.285714,13,47.433867
-0.857143,7,47.567508
1.238095,11,47.771965
1.119048,6,47.884666
1.238095,11,48.081136
1.119048,6,48.200787
-0.761905,11,48.394303
1.309524,14,48.645972
-0.761905,11,48.846407
-9.619048,17,49.157068
1.166667,8,49.303323
1.238095,11,49.511481
1.095238,5,49.611218
1.214286,10,49.789736
1.238095,11,49.982855
1.119048,6,50.096553
1.071429,4,50.180335
1.261905,12,50.43562
1.119048,6,50.551339
-0.738095,12,50.775206
1.261905,12,50.984672
1.238095,11,51.181148
-9.738095,12,51.401232
-0.880952,6,51.517876
1.333333,15,51.787724
-0.880952,6,51.904447
1.095238,5,52.001153
-0.904762,5,52.108865
-0.904762,5,52.207088
-0.857143,7,52.352607
1.190476,9,52.507193
-0.714286,13,52.749543
1.190476,9,52.919119
1.166667,8,53.06373
-9.666667,15,53.319674
1.309524,14,53.574015
-9.714286,13,53.800379
-9.785714,10,53.972914
1.214286,10,54.149471
-9.738095,12,54.347923
1.238095,11,54.543387
1.119048,6,54.666104
1.238095,11,54.861686
-0.785714,10,55.047169
1.166667,8,55.188808
1.285714,13,55.430136
-9.785714,10,55.605126
-9.761905,11,55.799525
-9.738095,12,56.008833
-0.904762,5,56.11953
-9.738095,12,56.312009
1.309524,14,56.562778
-0.666667,15,56.832061
1.142857,7,56.958704
1.071429,4,57.047482
1.095238,5,57.147091
1.095238,5,57.244829
1.166667,8,57.399066
1.238095,11,57.610502
1.285714,13,57.837889
-0.761905,11,58.049239
-9.833333,8,58.181884
1.190476,9,58.350462
-0.785714,10,58.538956
1.166667,8,58.688556
1.214286,10,58.875621
1.333333,15,59.144324
1.261905,12,59.367776
1.142857,7,59.496447
1.190476,9,59.677921
1.214286,10,59.859294
-9.785714,10,60.030868
-0.880952,6,60.150525
1.285714,13,60.378918
1.142857,7,60.505466
1.095238,5,60.611878
-9.785714,10,60.800274
1.214286,10,60.987566
-0.833333,8,61.160076
1.190476,9,61.335387
1.214286,10,61.516896
1.190476,9,61.686448
-9.785714,10,61.862687
-9.666667,15,62.121029
-9.809524,9,62.267617
-0.690476,14,62.513148
-0.785714,10,62.701645
1.119048,6,62.816334
-9.714286,13,63.042704
1.166667,8,63.193788
1.238095,11,63.389287
1.238095,11,63.58177
-9.738095,12,63.784202
-9.785714,10,63.962772
-9.880952,6,64.081454
-0.738095,12,64.285878
1.214286,10,64.461406
1.142857,7,64.591033
-9.690476,14,64.832803
1.261905,12,65.052215
-9.809524,9,65.203838
-0.809524,9,65.380338
1.238095,11,65.580368
-9.714286,13,65.80776
1.119048,6,65.929434
1.119048,6,66.039814
1.190476,9,66.202411
1.071429,4,66.282917
1.166667,8,66.432548
-9.690476,14,66.673898
-0.857143,7,66.819509
1.309524,14,67.073564
-9.738095,12,67.27969
1.119048,6,67.396419
1.285714,13,67.636355
1.261905,12,67.855017
1.142857,7,67.989234
1.214286,10,68.173241
-9.738095,12,68.373704
-0.880952,6,68.488627
-0.809524,9,68.659142
-9.714286,13,68.885625
1.261905,12,69.097094
1.142857,7,69.222751
-9.738095,12,69.44413
-9.666667,15,69.701321
-0.690476,14,69.953065
-9.690476,14,70.183476
-0.738095,12,70.402853
-9.714286,13,70.617289
1.285714,13,70.870998
-9.738095,12,71.087726
1.166667,8,71.23536
-0.809524,9,71.414876
1.166667,8,71.556506
1.261905,12,71.772926
-0.880952,6,71.89659
1.095238,5,71.994336
1.142857,7,72.124985
1.285714,13,72.353374
1.238095,11,72.544857
1.333333,15,72.815242
1.309524,14,73.066858
1.095238,5,73.164596
1.119048,6,73.2839
1.238095,11,73.482369
-0.714286,13,73.719118
-9.785714,10,73.895617
1.238095,11,74.099
-9.690476,14,74.334023
1.095238,5,74.430792
1.309524,14,74.672147
-0.690476,14,74.927468
-9.738095,12,75.131887
-9.738095,12,75.339359
1.095238,5,75.438097
-9.761905,11,75.630583
-0.880952,6,75.748267
1.214286,10,75.927766
-0.761905,11,76.129244
1.142857,7,76.250916
-9.761905,11,76.443389
-0.738095,12,76.658808
-9.761905,11,76.847332
1.071429,4,76.933092
-9.690476,14,77.176432
1.380952,17,77.485046
1.119048,6,77.598808
1.190476,9,77.778731
1.071429,4,77.863534
-0.690476,14,78.120683
-9.666667,15,78.377003
1.166667,8,78.521636
-9.833333,8,78.678217
-0.809524,9,78.855722
-9.738095,12,79.06713
1.166667,8,79.224501
1.238095,11,79.42998
-0.857143,7,79.562624
1.238095,11,79.762081
-9.738095,12,79.964551
1.119048,6,80.082205
-9.738095,12,80.296932
1.357143,16,80.567826
1.261905,12,80.777267
1.309524,14,81.024817
