#{"t_start": 1618262887.9254274, "env_id": null}
r,l,t
-0.904762,5,1.439215
-0.738095,12,2.173221
-0.904762,5,2.482499
-0.857143,7,2.904373
-0.880952,6,3.282764
-0.761905,11,3.929121
-0.928571,4,4.18646
-0.880952,6,4.554482
-0.809524,9,5.077218
-0.904762,5,5.400353
-0.761905,11,6.033659
-0.928571,4,6.277008
1.119048,6,6.631063
-0.857143,7,7.080859
-0.857143,7,7.555624
-0.904762,5,7.875762
-0.880952,6,8.25472
-0.904762,5,8.553948
-0.880952,6,8.917578
-0.833333,8,9.384336
-0.857143,7,9.795493
-0.809524,9,10.321087
-0.880952,6,10.675142
-0.809524,9,11.19176
1.071429,4,11.396223
-0.880952,6,11.751262
-0.880952,6,12.106314
-0.857143,7,12.508269
-0.857143,7,12.92116
-0.880952,6,13.279179
-0.928571,4,13.535522
-0.785714,10,14.088044
-0.928571,4,14.332362
-0.809524,9,14.856959
-0.880952,6,15.227995
-0.833333,8,15.703721
-0.928571,4,15.948042
-0.904762,5,16.245247
-0.880952,6,16.597335
-0.904762,5,16.892514
-0.833333,8,17.374085
-0.928571,4,17.61745
-0.857143,7,18.054281
-0.833333,8,18.516575
-0.880952,6,18.882626
-0.833333,8,19.352763
-0.904762,5,19.64997
-0.904762,5,19.963111
-0.904762,5,20.253566
-0.880952,6,20.608589
-0.857143,7,21.048413
-0.857143,7,21.466709
-0.809524,9,22.020247
-0.785714,10,22.632591
1.071429,4,22.842062
-0.928571,4,23.073446
-0.904762,5,23.371615
-0.880952,6,23.740628
-0.833333,8,24.217354
-0.833333,8,24.668019
-0.928571,4,24.912368
-0.928571,4,25.15372
-0.761905,11,25.787427
1.095238,5,26.048728
-0.904762,5,26.338956
-0.761905,11,27.05501
-0.928571,4,27.328279
-0.904762,5,27.6564
-0.857143,7,28.113179
-0.809524,9,28.631793
-0.928571,4,28.869157
-0.809524,9,29.439631
-0.857143,7,29.853549
-0.809524,9,30.37912
-0.880952,6,30.751152
-0.857143,7,31.154047
-0.857143,7,31.58692
-0.904762,5,31.879108
-0.928571,4,32.130436
-0.904762,5,32.43163
-0.761905,11,33.082889
-0.904762,5,33.382132
-0.880952,6,33.741143
-0.880952,6,34.0972
-0.880952,6,34.454319
-0.880952,6,34.811914
-0.904762,5,35.11709
-0.904762,5,35.422302
-0.880952,6,35.793864
-0.880952,6,36.167379
-0.809524,9,36.701383
-0.904762,5,37.006564
-0.809524,9,37.540973
-0.880952,6,37.898461
-0.880952,6,38.252516
-0.833333,8,38.725756
-0.880952,6,39.100772
-0.904762,5,39.400693
-0.928571,4,39.651025
-0.880952,6,40.006103
1.071429,4,40.201571
-0.880952,6,40.549727
-0.928571,4,40.79414
-0.857143,7,41.212335
-0.880952,6,41.57041
-0.880952,6,41.964325
-0.833333,8,42.477948
