#{"t_start": 1618268456.6685603, "env_id": null}
r,l,t
1.214286,10,1.697542
1.071429,4,1.889999
-0.880952,6,2.524534
-0.833333,8,2.983305
-0.809524,9,3.491941
-0.928571,4,3.717936
-0.857143,7,4.12459
1.071429,4,4.339015
-0.833333,8,4.770859
1.071429,4,4.969328
1.071429,4,5.153535
1.071429,4,5.338068
1.214286,10,5.843718
-0.928571,4,6.075104
-9.761905,11,6.634229
-0.904762,5,6.930435
1.071429,4,7.141899
-0.833333,8,7.57571
-0.857143,7,7.960682
-0.904762,5,8.260879
-0.904762,5,8.537138
-0.857143,7,8.958042
-0.904762,5,9.394846
-0.880952,6,10.110931
-0.928571,4,10.592643
-0.928571,4,11.077346
-0.928571,4,11.565043
-0.809524,9,12.556427
-0.857143,7,13.336308
-0.880952,6,14.011501
1.071429,4,14.397469
1.071429,4,14.779447
-0.833333,8,15.683031
-0.904762,5,16.284456
-0.880952,6,16.968594
-0.857143,7,17.77148
-0.809524,9,18.793713
1.190476,9,19.705141
-0.880952,6,20.408432
1.071429,4,20.77944
-0.833333,8,21.668198
-0.785714,10,22.779625
-0.880952,6,23.464796
-0.880952,6,24.18033
-0.880952,6,24.851886
-0.880952,6,25.540045
-0.833333,8,26.698946
-0.880952,6,28.05632
-0.833333,8,29.006808
-0.833333,8,29.944304
-0.904762,5,30.526711
-0.904762,5,31.124113
-0.904762,5,31.701569
1.071429,4,32.07949
-0.904762,5,32.649969
-0.857143,7,33.442818
-0.880952,6,34.150231
-0.833333,8,35.040883
1.071429,4,35.425208
-0.761905,11,36.64395
1.190476,9,37.636295
-0.904762,5,38.228274
1.071429,4,38.64117
-0.833333,8,39.528851
-0.833333,8,40.430439
-0.880952,6,41.115196
-0.928571,4,41.592886
-0.833333,8,42.494475
-0.785714,10,43.620466
1.142857,7,44.362513
1.119048,6,44.957888
-0.857143,7,45.748806
-0.857143,7,46.559605
1.071429,4,46.954548
-0.880952,6,47.648727
-0.880952,6,48.336852
-0.880952,6,49.009055
1.071429,4,49.403998
1.071429,4,49.778995
-0.904762,5,50.407317
-0.880952,6,51.103485
-0.880952,6,51.786811
-0.857143,7,52.575702
-0.880952,6,53.242919
-0.857143,7,54.031811
-0.833333,8,54.903477
1.071429,4,55.284458
-0.904762,5,55.85294
1.214286,10,56.911108
1.071429,4,57.289095
-0.880952,6,57.989637
1.071429,4,58.390565
-0.857143,7,59.169946
-0.880952,6,59.837127
-0.928571,4,60.304315
-0.833333,8,61.220863
-0.809524,9,62.253139
1.214286,10,63.282351
-0.904762,5,63.882746
-0.857143,7,64.707542
-0.833333,8,65.620134
-0.857143,7,66.422952
-0.857143,7,67.211843
-0.761905,11,68.433611
-0.857143,7,69.239421
1.071429,4,69.609097
1.071429,4,69.989076
-0.904762,5,70.568531
-0.833333,8,71.480403
-0.880952,6,72.169592
-0.880952,6,72.881656
-0.809524,9,73.888967
-0.761905,11,75.121856
-0.928571,4,75.593563
1.071429,4,75.980529
