#{"t_start": 1618264023.322426, "env_id": null}
r,l,t
-0.857143,7,1.562008
-0.880952,6,1.930025
-0.880952,6,2.291085
-0.785714,10,2.883573
-0.833333,8,3.352293
-0.833333,8,3.812063
-0.880952,6,4.168558
-0.880952,6,4.527598
-0.904762,5,4.827796
-0.809524,9,5.366375
-0.880952,6,5.7314
-0.857143,7,6.146289
-0.880952,6,6.510871
-0.928571,4,6.756216
-0.809524,9,7.284802
-0.904762,5,7.581009
-0.928571,4,7.823362
1.071429,4,8.026828
1.071429,4,8.228279
-0.857143,7,8.643169
-0.904762,5,8.946358
-0.880952,6,9.281464
-0.857143,7,9.686379
-0.904762,5,9.98417
-0.880952,6,10.336208
-0.833333,8,10.799968
-0.857143,7,11.203475
-0.809524,9,11.708954
-0.880952,6,12.063007
-0.928571,4,12.309349
-0.714286,13,13.071336
-0.880952,6,13.403344
-0.880952,6,13.761351
-0.833333,8,14.238107
-0.857143,7,14.651068
-0.857143,7,15.068979
-0.904762,5,15.351228
-0.880952,6,15.700292
-0.904762,5,16.00046
-0.880952,6,16.353543
-0.857143,7,16.757435
-0.880952,6,17.11152
1.071429,4,17.300114
-0.857143,7,17.710018
-0.880952,6,18.069088
-0.857143,7,18.498065
-0.833333,8,18.983762
-0.880952,6,19.321857
-0.928571,4,19.557231
-0.880952,6,19.919231
-0.738095,12,20.583456
-0.880952,6,20.934544
-0.857143,7,21.332485
-0.880952,6,21.698473
1.309524,14,22.458441
-0.880952,6,22.816483
-0.809524,9,23.339552
-0.809524,9,23.86016
-0.880952,6,24.226182
-0.880952,6,24.574723
-0.904762,5,24.868936
-0.880952,6,25.219997
-0.904762,5,25.5182
-0.928571,4,25.759555
-0.928571,4,26.025842
-0.880952,6,26.379931
-0.904762,5,26.677101
-0.880952,6,27.033149
-0.833333,8,27.469981
-0.880952,6,27.828023
-0.857143,7,28.242919
1.190476,9,28.705676
-0.809524,9,29.237255
-0.880952,6,29.5943
-0.904762,5,29.888544
-0.904762,5,30.180768
-0.880952,6,30.529532
-0.761905,11,31.14791
-0.857143,7,31.544848
-0.785714,10,32.11831
-0.833333,8,32.619999
-0.857143,7,33.027615
-0.880952,6,33.382663
-0.928571,4,33.624924
-0.833333,8,34.082699
-0.809524,9,34.600315
-0.880952,6,34.952375
-0.904762,5,35.250576
-0.904762,5,35.55975
-0.928571,4,35.813086
-0.928571,4,36.074375
-0.928571,4,36.321712
1.142857,7,36.706717
-0.880952,6,37.068715
-0.880952,6,37.413792
-9.761905,11,37.98726
-0.857143,7,38.397194
-0.857143,7,38.804074
-0.880952,6,39.158683
-0.880952,6,39.512648
-0.880952,6,39.861714
-0.880952,6,40.215767
-0.880952,6,40.580793
-0.904762,5,40.878995
-0.738095,12,41.572141
1.214286,10,42.088786
-0.857143,7,42.503649
-0.833333,8,42.979407
-0.833333,8,43.431203
-0.785714,10,43.993665
-0.857143,7,44.408557
-0.928571,4,44.656892
-0.880952,6,45.000972
-0.857143,7,45.407884
-0.833333,8,45.878624
-0.857143,7,46.303488
-0.928571,4,46.552822
-0.809524,9,47.080443
1.071429,4,47.284864
-0.880952,6,47.634957
-0.880952,6,47.988014
-0.880952,6,48.358001
-0.880952,6,48.707062
-0.880952,6,49.063109
-0.857143,7,49.478001
-0.928571,4,49.727333
-0.833333,8,50.190462
-0.904762,5,50.483672
-0.833333,8,50.950397
-0.880952,6,51.327415
-0.833333,8,51.798163
-0.928571,4,52.045478
-0.928571,4,52.282859
-0.904762,5,52.63589
-0.857143,7,53.043799
-0.785714,10,53.622253
-0.857143,7,54.03814
-0.928571,4,54.272513
-0.928571,4,54.523844
-0.904762,5,54.820049
1.071429,4,55.026528
-0.857143,7,55.424434
-0.761905,11,56.070705
-0.880952,6,56.431767
-0.928571,4,56.666112
-0.904762,5,56.983277
-0.857143,7,57.392173
-0.857143,7,57.83
-0.880952,6,58.207991
-0.928571,4,58.451339
-0.928571,4,58.697681
-0.761905,11,59.327995
-0.857143,7,59.737898
-0.904762,5,60.065051
-0.785714,10,60.642481
-0.809524,9,61.16644
-0.833333,8,61.639178
-0.857143,7,62.054097
-0.833333,8,62.524808
-0.833333,8,62.994551
-0.857143,7,63.396502
-0.857143,7,63.805411
-0.857143,7,64.225284
-0.857143,7,64.634195
-0.738095,12,65.363247
-0.904762,5,65.663444
-0.833333,8,66.12917
-0.833333,8,66.605021
-0.928571,4,66.868315
-0.785714,10,67.454747
-0.904762,5,67.755943
-0.928571,4,68.001316
-0.833333,8,68.472028
-0.857143,7,68.884922
-0.809524,9,69.403569
-0.880952,6,69.759583
-0.880952,6,70.117653
-0.928571,4,70.369951
-0.809524,9,70.884604
-0.833333,8,71.326393
-0.880952,6,71.69441
-0.880952,6,72.046498
-0.904762,5,72.36195
-0.880952,6,72.725458
-0.904762,5,73.021665
-0.857143,7,73.430573
-0.857143,7,73.838481
-0.880952,6,74.197521
-0.809524,9,74.714162
-0.857143,7,75.132052
-0.880952,6,75.474108
-0.785714,10,76.0798
-0.880952,6,76.437841
-0.928571,4,76.686177
-0.857143,7,77.093087
-0.809524,9,77.616656
-0.880952,6,77.979715
-0.880952,6,78.334763
-0.880952,6,78.700785
-0.833333,8,79.197431
-0.880952,6,79.597384
-0.904762,5,79.904564
-0.833333,8,80.412182
1.238095,11,81.053466
-0.833333,8,81.565099
-0.880952,6,81.946121
-0.833333,8,82.411868
-0.857143,7,82.816751
-0.833333,8,83.26558
-0.785714,10,83.851015
-0.904762,5,84.154175
-0.880952,6,84.512341
-0.904762,5,84.803558
-0.857143,7,85.20845
-0.880952,6,85.550535
-0.880952,6,85.916556
-0.761905,11,86.558839
